provstate,incidents,killed,wounded,risk_score
Jammu and Kashmir,2454,4079.0,8569.0,1.0
Assam,1151,2112.0,3953.0,0.9628571428571429
Punjab,949,2751.0,2274.0,0.9228571428571428
Chhattisgarh,979,1465.0,1053.0,0.897142857142857
Manipur,1100,747.0,1087.0,0.8828571428571428
Jharkhand,887,796.0,723.0,0.8285714285714286
Maharashtra,302,1010.0,2036.0,0.8142857142857143
Bihar,688,765.0,561.0,0.7942857142857144
West Bengal,650,671.0,986.0,0.7828571428571429
Andhra Pradesh,251,543.0,676.0,0.6942857142857143
Delhi,208,439.0,2041.0,0.6942857142857143
Uttar Pradesh,201,502.0,858.0,0.6599999999999999
Unknown,157,673.0,384.0,0.6228571428571429
Orissa,221,276.0,268.0,0.6171428571428571
Odisha,428,221.0,151.0,0.6085714285714287
Tamil Nadu,164,248.0,738.0,0.5971428571428571
Meghalaya,294,134.0,186.0,0.5485714285714286
Tripura,117,358.0,245.0,0.5428571428571428
Nagaland,115,190.0,224.0,0.46285714285714286
Gujarat,85,159.0,454.0,0.46
Haryana,50,268.0,373.0,0.45714285714285713
Madhya Pradesh,75,191.0,130.0,0.3942857142857143
Chandigarh,47,192.0,141.0,0.36571428571428566
Karnataka,71,92.0,153.0,0.33714285714285713
Kerala,98,12.0,43.0,0.3171428571428571
Rajasthan,43,119.0,109.0,0.28857142857142853
Himachal Pradesh,24,126.0,265.0,0.2842857142857143
Uttaranchal,24,117.0,219.0,0.24999999999999997
Andhra pradesh,41,33.0,14.0,0.2257142857142857
Mizoram,27,32.0,24.0,0.20857142857142855
Arunachal Pradesh,24,14.0,33.0,0.17
Telangana,24,4.0,5.0,0.1357142857142857
Goa,5,2.0,1.0,0.08
Sikkim,4,0.0,3.0,0.058571428571428566
Puducherry,2,0.0,0.0,0.032857142857142856
